Alimento (por 100 gramos);Calorías (Kcal.);Carbohidratos (g.);Proteínas (g.);Grasas (g.);Fibra (g.)
Jamón serrano;241;0;31;13;0
Jamón, ahumado o curado, enlatado;132;1;17,46;6,17;0
Jamón, preenvasado o charcutería, fiambre, sodio reducido;107;0,7;16,85;4,04;0
Judías blancas secas / Alubias blancas secas;272;41,6;22,2;1,3;19,7
Jugo / Zumo de apio;18;4;0,83;0,16;1,6
Jugo / Zumo de arándano, 100%;46;12,2;0,39;0,13;0,1
Jugo / Zumo de ciruela, 100%;71;17,45;0,61;0,03;1
Jugo / Zumo de coco;31;2,92;0,21;2,08;0
Jugo / Zumo de fresa, 100%;38;7,8;0,3;0,6;0,1
Jugo / Zumo de granada, 100%;54;13,13;0,15;0,29;0,1
Jugo / Zumo de lima, 100%;25;8,42;0,42;0,07;0,4
Jugo / Zumo de limón, 100%;22;6,9;0,35;0,24;0,3
Jugo / Zumo de mandarina, 100%;43;10,1;0,5;0,2;0,2
Jugo / Zumo de manzana, 100%;46;11,3;0,1;0,13;0,2
Jugo / Zumo de maracuyá, 100%;51;13,6;0,39;0,05;0,2
Jugo / Zumo de mora, 100%;38;7,8;0,3;0,6;0,1
Jugo / Zumo de naranja, 100%;48;11,45;0,68;0,12;0,3
Jugo / Zumo de papaya, 100%;57;14,51;0,17;0,15;0,6
Jugo / Zumo de piña, 100%;53;12,87;0,36;0,12;0,2
Jugo / Zumo de sandia, 100%;30;7,55;0,61;0,15;0,4
Jugo / Zumo de tomate, 100%;17;3,53;0,85;0,29;0,4
Jugo / Zumo de uva, 100%;60;14,77;0,37;0,13;0,2
Jugo / Zumo de zanahoria, 100%;40;9,28;0,95;0,15;0,8
Jurel;112;0,8;15,4;5,2;0
Kéfir;52;7,34;3,59;0,92;0
Kétchup;131;32;0,4;0;0,7
Kiwi crudo;61;14,66;1,14;0,52;3
Langosta, al vapor o hervida;91;0;18,3;2;0
Langostino;93;0;20,1;1.4;0
Leche baja en grasa (1%) semidesnatada;42;4,99;3,37;0,97;0
Leche baja en grasa (2%) semidesnatada;50;4,8;3,3;1,98;0
Leche condensada, endulzada;321;54,4;7,91;8,7;0
Leche de almendras, endulzada;38;6,59;0,42;1,04;0,4
Leche de almendras, sin azúcar;15;0,58;0,59;1,1;0
Leche de arroz;47;9,17;0,28;0,97;0,3
Leche de cabra entera;69;4,45;3,56;4,14;0
Leche de coco para cocinar;230;5,54;2,29;23,84;2,2
Leche de soja;43;4,92;2,6;1,47;0,2
Leche desnatada / descremada;34;4,96;3,37;0,08;0
Leche entera;61;4,8;3,15;3,25;0
Leche entera con calcio;61;4,8;3,15;3,25;0
Leche Entera, Polvo;500;37;25;26;0
Leche evaporada entera;134;10,04;6,81;7,56;0
Leche evaporada, sin grasa (desnatada / descremada);78;11,35;7,55;0,2;0
Leche sin lactosa, entera;61;4,8;3,15;3,25;0
Lechuga cruda;14;2,97;0,9;0,14;1,2
Lechuga romana cruda;19;3,78;1,39;0,27;3,1
Lechuga, Boston, cruda;13;2,23;1,35;0,22;1,1
Lechuga, rúcula, cruda;25;3,65;2,58;0,66;1,6
Lenguado, al vapor o escalfado;88;0;15,61;2,43;0
Lentejas secas;310;48,7;24,8;1,2;9,7
Lentejas, no agregadas grasas en la cocción;115;20,03;8,98;0,38;7,9
Levadura;325;41,22;40,44;7,61;26,9
Levadura de Cerveza, Seca;219;0;48;4;0
Lichi crudo;66;16,53;0,83;0,44;1,3
Lima cruda;30;10,54;0,7;0,2;2,8
Limón crudo;29;9,32;1,1;0,3;2,8
Lombarda (col lombarda);27;3,7;1,1;0,3;2,5
Lomo Cerdo Embuchado;386;0;50;21;0
Lubina al vapor o escalfado;122;0;23,18;2,52;0
Lucio al vapor o escalfado;111;0;24,22;0,87;0
Macarrones;370;79;14;2;3
Magdalena;397;42;6;23;1
Maíz al horno;214;39,68;3,5;4,31;1,9
Maíz crudo;86;18,7;3,27;1,35;2
Maíz Dulce Mazorca;104;19,5;3,3;0,78;2,8
Malvavisco;318;81,3;1,8;0,2;0,1
Mandarina cruda;53;13,34;0,81;0,31;1,8
Mango crudo;60;14,98;0,82;0,38;1,6
Manhattan Cocktail;222;1,82;0,03;0;0
Manteca de cerdo;902;0;0;100;0
Mantequilla;717;0,06;0,85;81,11;0
Manzana cruda;52;13,81;0,26;0,17;2,4
Manzana, seca;243;65,89;0,93;0,32;8,7
Margarina;533;0,86;0,17;59,81;0
Martini;201;0,15;0,07;0;0
Mayonesa;680;0,57;0,96;74,85;0
Mayonesa, baja en grasa, con aceite de oliva.;361;0;0,37;40;0
Mazapán;443;49;9;25;6
Mejillones al vapor o escalfados;171;7,35;23,7;4,46;0
Mejillones crudos;86;3,69;11,9;2,24;0
Melocotón crudo;39;9,54;0,91;0,25;1,5
Melocotón en almíbar;84;22;0.4;0;1
Melón;34;8,16;0,84;0,19;0,9
Membrillo (dulce de);242;62,8;0,14;0,03;0,6
Merluza;89;0;15,9;2,8;0
Mermelada, conserva;278;68,86;0,37;0,07;1,1
Miel;304;82,4;0,3;0;0,2
Miso;198;25,37;12,79;6,01;5,4
Molleja, cocinada;154;0;30,4;2,7;0
Moras congeladas;64;15,67;1,18;0,43;5
Moras crudas;43;9,61;1,39;0,49;5,3
Morcilla;379;1,29;14,6;34,5;0
Mortadela;311;3,05;16,37;25,39;0
Mostaza;60;5,83;3,74;3,34;4
Mousse de chocolate;209;16,24;4,31;14,97;0,6
Muffin de chocolate;390;50,81;6,39;18,2;1,9
Muslo de pollo, asado, con piel;206;0,12;25,65;11,46;0
Muslo de pollo, asado, sin piel;172;0;27,71;6,76;0
